Author_name,Author_link,Birthday,Number_quotes,Quotes,STT,Deathday,Birthyear,Age
Mark Twain,http://quotes.toscrape.com/author/Mark-Twain,30/11/1835,6,"['“Good friends, good books, and a sleepy conscience: this is the ideal life.”', '“I have never let my schooling interfere with my education.”', ""“′Classic′ - a book which people praise and don't read.”"", '“The fear of death follows from the fear of life. A man who lives fully is prepared to die at any time.”', '“A lie can travel half way around the world while the truth is putting on its shoes.”', '“Never tell the truth to people who are not worthy of it.”']",1,1910.0,1835,75
Bob Marley,http://quotes.toscrape.com/author/Bob-Marley,06/02/1945,3,"[""“You may not be her first, her last, or her only. She loved before she may love again. But if she loves you now, what else matters? She's not perfect—you aren't either, and the two of you may never be perfect together but if she can make you laugh, cause you to think twice, and admit to being human and making mistakes, hold onto her and give her the most you can. She may not be thinking about you every second of the day, but she will give you a part of her that she knows you can break—her heart. So don't hurt her, don't change her, don't analyze and don't expect more than she can give. Smile when she makes you happy, let her know when she makes you mad, and miss her when she's not there.”"", '“One good thing about music, when it hits you, you feel no pain.”', '“The truth is, everyone is going to hurt you. You just got to find the ones worth suffering for.”']",2,1981.0,1945,36
Martin Luther King Jr.,http://quotes.toscrape.com/author/Martin-Luther-King-Jr,15/01/1929,1,['“Only in the darkness can you see the stars.”'],3,1968.0,1929,39
George Eliot,http://quotes.toscrape.com/author/George-Eliot,22/11/1819,1,['“It is never too late to be what you might have been.”'],4,1880.0,1819,61
Eleanor Roosevelt,http://quotes.toscrape.com/author/Eleanor-Roosevelt,11/10/1884,2,"[""“A woman is like a tea bag; you never know how strong it is until it's in hot water.”"", '“Do one thing every day that scares you.”']",5,1962.0,1884,78
Allen Saunders,http://quotes.toscrape.com/author/Allen-Saunders,24/04/1899,1,['“Life is what happens to us while we are making other plans.”'],6,1986.0,1899,87
Haruki Murakami,http://quotes.toscrape.com/author/Haruki-Murakami,12/01/1949,1,"['“If you only read the books that everyone else is reading, you can only think what everyone else is thinking.”']",7,,1949,74
Mother Teresa,http://quotes.toscrape.com/author/Mother-Teresa,26/08/1910,2,"['“If you judge people, you have no time to love them.”', '“Not all of us can do great things. But we can do small things with great love.”']",8,1997.0,1910,87
George Carlin,http://quotes.toscrape.com/author/George-Carlin,12/05/1937,1,['“The reason I talk to myself is because I’m the only one whose answers I accept.”'],9,2008.0,1937,71
Khaled Hosseini,http://quotes.toscrape.com/author/Khaled-Hosseini,04/03/1965,1,['“But better to get hurt by the truth than comforted with a lie.”'],10,,1965,58
Friedrich Nietzsche,http://quotes.toscrape.com/author/Friedrich-Nietzsche,15/10/1844,1,"['“It is not a lack of love, but a lack of friendship that makes unhappy marriages.”']",11,1900.0,1844,56
Alexandre Dumas-fils,http://quotes.toscrape.com/author/Alexandre-Dumas-fils,27/07/1824,1,['“The difference between genius and stupidity is: genius has its limits.”'],12,1895.0,1824,71
Thomas A. Edison,http://quotes.toscrape.com/author/Thomas-A-Edison,11/02/1847,1,"[""“I have not failed. I've just found 10,000 ways that won't work.”""]",13,1931.0,1847,84
Marilyn Monroe,http://quotes.toscrape.com/author/Marilyn-Monroe,01/06/1926,7,"[""“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”"", ""“This life is what you make it. No matter what, you're going to mess up sometimes, it's a universal truth. But the good part is you get to decide how you're going to mess it up. Girls will be your friends - they'll act like it anyway. But just remember, some come, some go. The ones that stay with you through everything - they're your true best friends. Don't let go of them. Also remember, sisters make the best friends in the world. As for lovers, well, they'll come and go too. And baby, I hate to say it, most of them - actually pretty much all of them are going to break your heart, but you can't give up because if you give up, you'll never find your soulmate. You'll never find that half who makes you whole and that goes for everything. Just because you fail once, doesn't mean you're gonna fail at everything. Keep trying, hold on, and always, always, always believe in yourself, because if you don't, then who will, sweetie? So keep your head high, keep your chin up, and most importantly, keep smiling, because life's a beautiful thing and there's so much to smile about.”"", '“You believe lies so you eventually learn to trust no one but yourself.”', '“If you can make a woman laugh, you can make her do anything.”', '“The real lover is the man who can thrill you by kissing your forehead or smiling into your eyes or just staring into space.”', ""“A wise girl kisses but doesn't love, listens but doesn't believe, and leaves before she is left.”"", '“I am good, but not an angel. I do sin, but I am not the devil. I am just a small girl in a big world trying to find someone to love.”']",14,1962.0,1926,36
